laureate,laureateName,prize,prizeLabel,awardYear,birthCountry,birthCountryLabel,inst,instLabel,instCountry,instCountryLabel,startYear,endYear
http://www.wikidata.org/entity/Q60066,Gerhard Ertl,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,2007,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q57568,Hans Spemann,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,1935,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q57078,Adolf von Baeyer,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1905,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q57067,Max von Laue,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1914,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q57066,James Franck,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1925,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q57065,Otto Hahn,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1944,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,http://www.wikidata.org/entity/Q183,Germany,1907,1933
http://www.wikidata.org/entity/Q78481,Richard Adolf Zsigmondy,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1925,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q57125,Walther Nernst,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1920,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q57075,Fritz Haber,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1918,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q57063,Philipp Lenard,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1905,http://www.wikidata.org/entity/Q214,Slovakia,http://www.wikidata.org/entity/Q152171,University of Bonn,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q5327,Adolf Butenandt,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1939,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q8753,Enrico Fermi,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1938,http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q91410,Stefan Hell,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,2014,http://www.wikidata.org/entity/Q218,Romania,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
